prompt,gen_text
"rewrite the text in a different style: With this a man who was Nancy's accomplice, Bill Sikes by name, came to the rescue, tore the volumes from Oliver's grasp, and struck him on the head.",Through all her evil career Nancy had been true to Sikes and would not have betrayed him.
rewrite the text in a different style: Darkness had set in; it was a low neighbourhood; no help was near--resistance was useless.,"He noticed, however, that the streets they passed through were narrow and dirty and the houses old and hideously filthy."
"rewrite the text in a different style: In another moment he was dragged into a labyrinth of dark narrow courts: and was forced along them, at a pace which rendered the few cries he dared to give utterance to, unintelligible.","The people, too, seemed low and wretched."
"rewrite the text in a different style: 
At length they turned into a very filthy street, and stopped at an apparently untenanted house into which Bill Sikes and Nancy led Oliver, and there, were his old friends, Charley Bates, the Dodger, and Fagin.","
He was just wondering if he had not better run away when the boy pushed open a door, drew Oliver inside, up a broken stairway and into a back room."
"rewrite the text in a different style: 
They greeted Oliver with cheers, and at once rifled his pockets of the five-pound note, and relieved him of the books,--although Oliver pleaded that the books and money be sent back to Mr. Brownlow.","Mr. Brownlow sent Oliver to take some money to the very book-stall in front of which the Artful Dodger had stolen the handkerchief, and Oliver went without dreaming of any danger."
"rewrite the text in a different style: When he found that all pleading and resistance were useless, he jumped suddenly to his feet and tore wildly from the room, uttering shrieks for help which made the bare old house echo to the roof, and then attempted to dart through the door, opened for a moment, but he was instantly caught, while Sikes' dog would have sprung upon him, except for Nancy's intervention.","
Suddenly a young woman in a cap and apron screamed out behind him very loudly: ""Oh, my dear little brother!"""
rewrite the text in a different style: She was struck with Oliver's pallor and great grief and tried to shield him from violence.,"and threw her arms tight around him. """
"rewrite the text in a different style: He was beaten by the Jew, and then led off by Master Bates into an adjacent kitchen to go to bed.","Every day the boy who had brought him there, whom they called ""the Artful Dodger,"" came in and gave the Jew some pocketbooks and handkerchiefs."
"rewrite the text in a different style: His new clothes were taken from him and he was given the identical old suit which he had so congratulated himself upon leaving off at Mr. Brownlow's, and the accidental display of which to Fagin, by the Jew who purchased them, had been the first clue to Oliver's whereabouts.","Oliver thought he must have made the pocketbooks, only they did not look new, and some seemed to have money in them."
"rewrite the text in a different style: 
For a week or so the boy was kept locked up, but after that the Jew left him at liberty to wander about the house; which was a weird, ghostlike place, with the mouldering shutters fast closed, and no evidence from outside that it sheltered human creatures.","He noticed, too, that whenever the Artful Dodger came home empty-handed Fagin seemed angry and cuffed and kicked him and sent him to bed supperless; but when he brought home a good number everything was very jolly."
"rewrite the text in a different style: Oliver was constantly with Charley Bates and the Dodger, who played the old game with the Jew every day.","
Whenever there was nothing else to do, the old Jew played a very curious game with the boys."
"rewrite the text in a different style: At times Fagin entertained the boys with stories of robberies he had committed in his younger days, which made Oliver laugh heartily, and show that he was amused in spite of his better feelings.","This was the way they played it: 
Fagin would put a snuff-box in one pocket, a watch in another and a handkerchief in a third; then he would walk about the room just as any old gentleman would walk about the street, stopping now and then, as if he were looking into shop-windows."
"rewrite the text in a different style: In short, the wily old Jew had the boy in his toils, and hoped gradually to instil into his soul the poison which would blacken it and change its hue forever.","
Now, Nancy had been very wicked all her life, but in spite of this there was a little good in her."
"rewrite the text in a different style: 
Meanwhile Fagin, Bill Sikes, and Nancy were arranging a plot in which poor Oliver was to play a notable part.","
All these things made Fagin determined to gain possession of Oliver again, and to do this he got the help of two others--a young woman named Nancy and her lover, a brutal robber named Bill Sikes."
"rewrite the text in a different style: One morning he found to his surprise, a pair of stout new shoes by his bedside, and at breakfast Fagin told him that he was to be taken to the residence of Bill Sikes that night, but no reason for this was given.","These two discovered that Oliver was at Mr. Brownlow's house, and lay in wait to kidnap him if he ever came out."
"rewrite the text in a different style: Fagin then left him and presently Nancy came in, looking pale and ill.",She had been crying and her face was bruised as though she had been beaten.
rewrite the text in a different style: She came from Sikes to take Oliver to him.,"Oliver saw she was very sorry for him, and, indeed, she told him she would help him if she could, but that there was no use trying to escape now, because they were watched all the time, and if he got away Sikes would certainly kill her."
rewrite the text in a different style: Her countenance was agitated and she trembled.,"
Miss Rose was greatly astonished, for she had never heard of him before, but she pitied Nancy because she had tried to help Oliver, and, of course, she herself wanted very much to help him discover who he was and who his parents had been."
"rewrite the text in a different style: 
""I have saved you from being ill-used once, and I will again; and I do now,"" she said, ""for those who would have fetched you if I had not, would have been far more rough than me.",She thanked Nancy and begged her to come to see her again.
"rewrite the text in a different style: Remember this, and don't let me suffer more for you just now.","She had already begun to repent having helped steal the boy, and now his plight touched her heart."
"rewrite the text in a different style: If I could help you, I would; but I have not the power.","There, he thought, he might get help."
"rewrite the text in a different style: 
Blowing out the light, she drew Oliver hastily after her, out, and into a hackney-cabriolet.","Sikes had a loaded pistol in his overcoat pocket, and he showed this to Oliver and told him if he spoke to anybody on the road or tried to get away he would shoot him with it."
"rewrite the text in a different style: The driver wanted no directions, but lashed his horse into full speed, and presently they were in a strange house.","
They walked a long way out of London, once or twice riding in carts which were going in their direction."
"rewrite the text in a different style: There, with Nancy and Sikes, Oliver remained until an early hour the next morning, when the three set out, whither or for what Oliver did not know, but before they started Sikes drew out a pistol, and holding it close to Oliver's temple said, ""If you speak a word while you're out of doors, with me, except when I speak to you, that loading will be in your head without notice!""","Whenever this happened Sikes kept his hand in the pocket where the pistol was, so that Oliver was afraid to appeal for help."
rewrite the text in a different style: And Oliver did not doubt the statement.,"He had intended to make a clever thief of Oliver and compel him to bring him many stolen things; now he had not only failed in this and lost the boy's help, but he was also afraid that Oliver would tell all about the wicked practices he had seen and show the officers where he had lived."
"rewrite the text in a different style: 
In the gray dawn of a cheerless morning the trio started off, and by continual tramping, and an occasional lift from a carter reached a public house where they lingered for some hours, and then went on again until the next night.","
Till then Oliver had not shed a tear, but now, alone in the dark, he felt so miserable that he cried for a long time."
"rewrite the text in a different style: They turned into no house at Shepperton, as the weary boy had expected; but still kept walking on, in mud and darkness, until they came in sight of the lights of a town.","
There was nothing to do, he thought at last, but to run away."
"rewrite the text in a different style: Then they stopped for a time at a solitary, dilapidated house, where they were met by other men.","So he tied up his few belongings in a handkerchief and, waiting till the first beam of sunrise, he unbarred the door and ran away as fast as he could, through the town into the country."
"rewrite the text in a different style: After walking about a quarter of a mile, they stopped before a detached house surrounded by a wall: to the top of which one of the men, Toby Crackit, climbed in a twinkling.","
The spy lay hid till he had heard all Nancy said; then he slipped out and ran as fast as his legs would carry him back to Fagin."
"rewrite the text in a different style: 
Before Oliver had time to look round, Sikes had caught him under the arms; and he and Toby were lying on the grass, on the other side of the wall.","Sikes and one of the others each took one of Oliver's hands, and so they walked a quarter of a mile to where was a fine house with a high wall around it."
"rewrite the text in a different style: Sikes followed, and they stole towards the house.","They made him climb over the wall with them, and, pulling him along, crept toward the house."
"rewrite the text in a different style: Now, for the first time Oliver realised that robbery, if not murder, was the object of the expedition.","
It was not till now that Oliver knew what they intended--that they were going to rob the house and make him help them, so that he, too, would be a burglar."
"rewrite the text in a different style: In vain he pleaded that they let him go,--he was answered only by oaths, while the robbers were busy opening a little window not far from the ground at the back of the house, which was just large enough to admit Oliver.","His limbs began to tremble and he sank to his knees, begging them to have mercy and to let him run away and die in the fields rather than to make him steal."
"rewrite the text in a different style: Toby planted himself firmly with his head against the wall beneath the window, then Sikes, mounting upon him, put Oliver through the window with his feet first, and without leaving hold of his collar, planted him safely on the floor inside.","With the pistol in his hand, Sikes put Oliver through the window, gave him a lantern and bade him go and unlock the front door for them."
"rewrite the text in a different style: 
""Take this lantern,"" whispered Sikes, looking into the room, ""You see the stairs afore you; go up softly and unfasten the street door.""","Here he fastened one end of the rope to the chimney, and, making a loop in the other end, put it over his head."
"rewrite the text in a different style: 
Oliver, more dead than alive gasped out, ""Yes.""","
There was only one person who could have told Oliver, and that one was Mrs. Bumble."
"rewrite the text in a different style: Sikes then advised him to take notice that he was within shot all the way; and that if he faltered, he would fall dead that instant.","
So one evening, when she was alone with him, she gave Sikes some laudanum in a glass of liquor, and when he was asleep she slipped away, found Miss Rose and told her all about it."
"rewrite the text in a different style: 
""It's done in a minute,"" said Sikes. """,Then Nancy hurried back before Sikes should wake up.
rewrite the text in a different style: whispered the other man.,"
He heard a man telling another about the murder as he read the account in a newspaper, and knew that he must hide."
"rewrite the text in a different style: 
""Nothing,"" said Sikes,--""_Now_!""","
Of all bad deeds that Sikes had ever done, that was the worst."
"rewrite the text in a different style: 
In the short time he had to collect his senses, Oliver had resolved that, whether he died in the attempt or not, he would make one effort to dart up stairs and to alarm the family.","As she had no money, she was taken to the poorhouse, where she died the next day without even telling her name, leaving behind her only a gold locket, which was around her neck, and a baby."
"rewrite the text in a different style: 
Scared by the sudden breaking of the stillness and by a loud cry which followed it, Oliver let his lantern fall and knew not whether to advance or fly.","
[Illustration: ""The Artful Dodger"" introducing Oliver Twist to Fagin 
_See page 55_] 
Oliver had made up his mind that as soon as he got beyond the range of Sikes's pistol he would scream and wake everybody in the house, but just then there was a sound from inside, and Sikes called to him to come back."
"rewrite the text in a different style: The cry was repeated--a light appeared--a vision of two terrified half-dressed men at the top of the stairs swam before his eyes--a flash--a smoke--a crash somewhere,--and he staggered back.","
Suddenly there was a loud shout from the top of the stairs--a flash--a report--and Oliver staggered back with a terrible pain in his arm and with everything swimming before his eyes."
"rewrite the text in a different style: 
Sikes had disappeared for an instant; but he was up again, and had Oliver by the collar before the smoke had cleared away.","
He heard cries and the loud ringing of a bell and felt Sikes drag him backward through the window."
"rewrite the text in a different style: He fired his pistol after the men, and dragged the boy up.",which frightened the poor boy even more and made him run all the faster.
"rewrite the text in a different style: 
""Clasp your arm tighter,"" said Sikes, as he drew him through the window. """,But Sikes drew his pistol with a frightful oath and dragged him on.
rewrite the text in a different style: They've hit him.,"As she clung to his knees, he seized a heavy club and struck her down."
rewrite the text in a different style: Bill Sikes had him on his back scudding like the wind.,"The latter sent for Bill Sikes, knowing him to be the most brutal and bloodthirsty ruffian of all, and told him what Nancy had done."
"rewrite the text in a different style: Oliver's head hung down, and he was deadly cold.","
But Oliver's blood ran cold as he read, and he pushed the book away in horror, and, falling on his knees, prayed that he might be spared from such deeds and rescued from that terrible place."
rewrite the text in a different style: The pursuers were close upon Sikes' heels.,"
He was still on his knees when Nancy came in and told him he must get ready at once to go on a journey with Bill Sikes."
rewrite the text in a different style: He dropped the boy in a ditch and fled.,"
So when the officers came the doctor told them that the boy had been accidentally shot and had come to the house for assistance, when the servants had mistaken him for one of the burglars."
"rewrite the text in a different style: 
Hours afterwards Oliver came to himself, and found his left arm rudely bandaged hung useless at his side.","This was not exactly the truth, but it seemed necessary to deceive the policemen if Oliver was to be saved."
rewrite the text in a different style: He was so weak that he could scarcely move.,"He tried to shut it out, but he could not."
"rewrite the text in a different style: Trembling from cold and exhaustion he made an effort to stand upright, but fell back, groaning with pain.",He grew suddenly afraid.
"rewrite the text in a different style: Then a creeping stupor came over him, warning him that if he lay there he must surely die.",Horror came upon him.
"rewrite the text in a different style: So he got upon his feet, and stumbling on, dizzy and half unconscious, drew near to the very house which caused him to shudder with horror at the memory of last night's dreadful scene.","He crept out of the room, locked the door behind him, and plunged into the crowded street."
"rewrite the text in a different style: 
Within, in the kitchen all the servants were gathered round the fire discussing the attempted burglary.",But when he came closer he saw that it was the very house the men had tried to rob that night.
"rewrite the text in a different style: They opened the door cautiously and beheld poor little Oliver Twist, speechless and exhausted, who raised his heavy eyes and mutely solicited their compassion.","
So poor Nancy died, with only time for a feeble prayer to God for mercy."
"rewrite the text in a different style: Instantly there was an outcry, and Oliver was seized by one leg and one arm, lugged into the hall, and laid on the floor. ""","He staggered back in terror, missed his footing, and fell over the edge of the roof."
"rewrite the text in a different style: I shot him, miss; and Brittles held the light!""","She seized the club and threw it into the fire, and so saved him the beating for that time."
"rewrite the text in a different style: On learning that a wounded thief was lying in the house, the voice directed that he be instantly carried up-stairs to the room of Mr. Giles, and a doctor be summoned; and so for the second time in his short, tragic existence, Oliver fell into kind hands at a moment when all hope had left his breast.","
He had just strength left to push open the gate, totter across the lawn and knock at the door; then he sank in a faint on the steps."
"rewrite the text in a different style: He was now in the home of Mrs. Maylie, a finely preserved, bright-eyed, elderly lady, and her fair young adopted niece, Rose.","
In the house lived a lady named Mrs. Maylie, just as kind-hearted as was Mr. Brownlow who had rescued Oliver at the police station, and with her lived a beautiful girl whom she had adopted, named Rose."
"rewrite the text in a different style: 
The attempted burglary had greatly shocked them both, and the fact that one of the robbers was in the house added to their nervousness.","The servants, when they came to the door, made sure Oliver was one of the robbers, and sent at once for policemen to take him in charge; but Miss Rose, the moment she saw what a good face the boy had and how little he looked like a thief, made them put him to bed and send at once for the doctor."
"rewrite the text in a different style: So when Dr. Losberne came, and begged them to accompany him to the patient's room, they dreaded to comply with the request, but finally yielded to his demand.","
When the good doctor arrived and saw Oliver, who was still unconscious, he thought Miss Rose was right, and when the boy had come to himself and told them how he had suffered, he was certain of it."
"rewrite the text in a different style: His wounded arm bound and splintered up, was crossed upon his breast.",He tried to rise and found that his arm was wounded and his clothes wet with blood.
"rewrite the text in a different style: Fearing that the doctor might influence her aunt to send the boy away, Rose pleaded that he be kept and cared for; it was finally decided that when Oliver awoke he should be examined as to his past life, and if the result seemed satisfactory, he should remain.","
The baby was left, with no one to care for it, to grow up at the poorhouse with the other wretched orphan children, who wore calico dresses all alike and had little to eat and many whippings."
rewrite the text in a different style: But not until evening was he able to be questioned.,"Of course, the servant that had fired the pistol was not able to swear that he had hit anybody at all, so the officers had to go away without arresting anybody."
rewrite the text in a different style: He then told them all his simple history.,"
He found only one book to read: this was a history of the lives of great criminals and was full of stories of secret thefts and murders."
"rewrite the text in a different style: It was a solemn thing to hear the feeble voice of the sick child recounting a weary catalogue of evils and calamities which hard men had brought upon him, and his hearers were profoundly moved by the recital.","For the old Jew, having tortured his mind by loneliness and gloom, had left the volume in his way, hoping it would instil into his soul the poison that would blacken it for ever."
"rewrite the text in a different style: 
On the following day, officers who had heard of the burglary, and that a thief was prisoner in the Maylie house, came from London to arrest him, but Dr. Losberne and Mrs. Maylie shielded him, and their joint bail was accepted for the boy's appearance in court if it should ever be required.","He hastened then to a den he knew in a house beside the river, dirty and dismal and the haunt of thieves."
"rewrite the text in a different style: Many times he spoke to the two sweet ladies of his gratitude to them, saying that he only desired to serve them always.","The undertaker's wife beat him often, and whenever he was not at work he had to attend funerals, which was by no means amusing, so that he found life no better than it had been at the workhouse."
"rewrite the text in a different style: To this they responded that he should go with them to the country, and there could serve them in a hundred ways.","But he would not listen now, though she pleaded with him pitifully to come with her to some foreign country (as Miss Rose had begged her to do), where they might both lead better lives."
rewrite the text in a different style: He longed to go to Mr. Brownlow and tell him the true story of his seeming ingratitude.,"She was there before them, and Mr. Brownlow heard her story over again from her own lips."
"rewrite the text in a different style: They hastened to the house, but alas!","
The wily old Jew was overjoyed to see them."
rewrite the text in a different style: it was empty.,"Fear came over him then, and he would have run away, but he was too weak."
"rewrite the text in a different style: There was a bill in the window, ""To Let"" and upon inquiring, they found that Mr. Brownlow, Mr. Grimwig, and Mrs. Bedwin had gone to the West Indies.","The very trip he had made to the West Indies had acquainted him with a crime Monks had committed there, from which he had fled to England."
"rewrite the text in a different style: 
The disappointment was a cruel one, for all through his sickness Oliver had anticipated the delight of seeing his first benefactor, and clearing himself of guilt, but now that was impossible.","The dying man also wrote a letter to Oliver's mother, telling her that he had made the will and that he was dying; but the older son, who was with him when he died, found the letter and destroyed it."
"rewrite the text in a different style: 
In a fortnight the Maylies went to the country, and Oliver, whose life had been spent in squalid crowds, seemed to enter on a new existence there.","
So Oliver's poor mother, knowing nothing of all this, when his father did not come back, thought at last that he had deserted her, and in her shame stole away from her home, poor and ill-clad, to die finally in the poorhouse."
"rewrite the text in a different style: 
In the summer Rose was taken down with a terrible fever, and anxiety hung like a cloud over the cottage where she was so dear, but at length the danger passed and the loving hearts grew lighter again.","
Miss Rose was in trouble now, for there was no one in London with her then who could help her."
"rewrite the text in a different style: 
Meanwhile a man named Monks,--a friend of Fagin's--had by chance seen Oliver, had been strangely excited and angered at sight of him, and after carefully learning some details of the boy's history, had gone to the beadle at the workhouse where Oliver began life, and by dint of bribes, had extorted information concerning Oliver's mother, which only one person knew.","But the same afternoon, whom should Oliver see at a distance, walking into his house, but Mr. Brownlow."
"rewrite the text in a different style: Satisfied with what he learned, Monks conferred with Fagin, telling some facts about Oliver which caused Nancy, who happened to overhear them, to become terror-stricken.","He came back in great joy to tell Miss Rose, and she concluded that the old gentleman would be the very one to aid her."
"rewrite the text in a different style: 
As soon as she could, she stole away from her companions, out towards the West End of London, to a hotel where the Maylies were then boarding, and which she had heard Monks mention.","She took Oliver to the house, and, sure enough, there was the boy's old benefactor."
"rewrite the text in a different style: Nancy was such a ragged object that she found it difficult to have her name carried up to Rose Maylie, but at length she succeeded, and was ushered into the sweet young lady's presence, where she quickly related what she had come to tell.","
Very glad, indeed, he was to hear what she told him."
"rewrite the text in a different style: That Monks had accidentally seen Oliver, and found out where he was living, and with whom;--that a bargain had been struck with Fagin that he should have a certain sum of money if Oliver were brought back, and a still larger amount if the boy could be made a thief.","For the old gentleman, when Oliver had disappeared with the money he had given him to take to the bookseller, had been reluctant to think the boy he had befriended was, after all, a liar and a thief."
"rewrite the text in a different style: Nancy then went on to tell that Monks spoke of Oliver as his young brother, and boasted that the proofs of the boy's identity lay at the bottom of the river--that he, Monks, had money which by right should have been shared with Oliver, and that his one desire was to take the boy's life.","He had advertised for him, but the only result had been a call from Mr. Bumble, who told him terrible tales of Oliver's wickedness."
"rewrite the text in a different style: 
These disclosures made Rose Maylie turn pale, and ask many questions, from which she discovered that Nancy's confession was actuated by a real liking for Oliver and a fierce hatred for the man Monks.","To find now, after all this time, that Oliver had not run away, and that Mr. Bumble's tales were lying ones, was a joyful surprise to Mr. Brownlow."
"rewrite the text in a different style: Her tale finished, and refusing money, or help of any kind, Nancy went as swiftly as she had come, and when she left, Rose sank into a chair completely overcome by what she had heard.","
After he had heard the whole, and when Oliver had gone into the garden, Miss Rose told him of Nancy's visit and of the man Monks who still pursued the boy to do him harm."
"rewrite the text in a different style: 
Of course the matter was too serious to pass over, and the next day, as Rose was trying to decide upon a course of action, Oliver settled it for her, by rushing in with breathless haste, and exclaiming, ""I have seen the gentleman--the gentleman who was so good to me--Mr. Brownlow!""","
It was fortunate that she had come to Mr. Brownlow, for, as it happened, he knew a great deal about Monks and his evil life."
"rewrite the text in a different style: 
""Going into a house,"" replied Oliver. ""","
In the back of the house was a window, which was not fastened, because it was much too small for a man to get through."
"rewrite the text in a different style: And Giles asked, for me, whether he lived there, and they said he did.","She had walked a long way, for her shoes were worn to pieces, but where she came from or where she was going nobody knew."
"rewrite the text in a different style: Look here,"" producing a scrap of paper, ""here it is; here's where he lives--I'm going there directly!","I know a 'spectable old genelman as lives there wot'll give you lodgings for nothing if I interduce you."""
"rewrite the text in a different style: I will take you to see Mr. Brownlow directly.""","Mr. Brownlow, for this reason, agreed with Miss Rose that they should both meet Nancy on the bridge on the coming Sunday to hear all she had been able to find out."
"rewrite the text in a different style: 
Oliver needed no urging and they were soon on their way to Craven Street.","
They said not a word of this to Oliver, and when Sunday night came they drove to the spot where Nancy had promised to meet them."
"rewrite the text in a different style: When they arrived, Rose left Oliver in the coach, and sending up her card, requested to see Mr. Brownlow on business.","
After this Oliver was ill for a long time, but he was carefully nursed, especially by Miss Rose, who grew as fond of him as if she had been his sister."
"rewrite the text in a different style: She was shown up stairs, and presented to Mr. Brownlow, an elderly gentleman of benevolent appearance, in a bottle-green coat, and with him was his friend, Mr. Grimwig.","As soon as he grew better she wrote a letter for him to Mr. Brownlow, the old gentleman who had rescued him from the police station, but to Oliver's grief she found that he had gone to the West Indies."
"rewrite the text in a different style: Rose began at once upon her errand, to the great amazement of the two old gentlemen.","
Thus the time passed till Oliver was quite well, and then Miss Rose (first carefully instructing the servant who went with them not to lose sight of him for a moment for fear of his old enemies) took him with her for a visit to London."
"rewrite the text in a different style: She related in a few natural words all that had befallen Oliver since he left Mr. Brownlow's house, concluding with the assurance that his only sorrow for many months had been the not being able to meet with his former benefactor and friend.","
Meantime there had been a dreadful scene in Fagin's house when Bill Sikes got back to London and told the old Jew that the robbery had failed and that Oliver was lost again."
"rewrite the text in a different style: 
""At this door!""","There was only one window to look out of, and that was in a back garret, but it had iron bars and looked out only on to the housetops."
"rewrite the text in a different style: Then Mrs. Bedwin was sent for. """,She had kept her word.
"rewrite the text in a different style: 
Leaving Oliver with her, Mr. Brownlow led Rose into another room, by her request, and she narrated her interview with Nancy, which occasioned Mr. Brownlow no small amount of perplexity and surprise.","Nancy was afraid to do this, because Bill Sikes watched her so closely, but she promised that on the next Sunday at midnight she would be on a certain bridge where Miss Rose might see her."
"rewrite the text in a different style: After a long consultation they decided to take Mrs. Maylie and Dr. Losberne into their confidence, also Mr. Grimwig, thus forming a committee for the purpose of guarding the young lad from further entanglement in the plots of villains.","Bad as Nancy was, however, she was not willing to betray Fagin or Bill Sikes, so she only told her of Monks."
"rewrite the text in a different style: 
Through Nancy, with whom Rose had another interview, the man Monks was tracked, and finally captured by Mr. Brownlow, who to his sorrow, found that the villain was the erring son of his oldest friend, and his name of Monks only an assumed one.","She went, therefore, to Monks's house and sold the locket and ring to him."
"rewrite the text in a different style: Facing him in a room of his own house, to which Monks had been brought,--Mr.","These, Monks thought, were the only proofs in the world that could ever show Oliver who he was, and to make it impossible for him ever to see them, he dropped them through a trap-door in his house down into the river, where they could never be found."
"rewrite the text in a different style: 
The father of Monks had two children who were half brothers, Monks and Oliver Twist.",For Monks was really Oliver's older half-brother!
"rewrite the text in a different style: The father died suddenly, leaving in Mr. Brownlow's home the portrait of Oliver's mother, which was hanging in the house-keeper's room.","
A little while before this story began, Oliver's father had been obliged to go on a trip to a foreign country, where he died very suddenly."
rewrite the text in a different style: The striking likeness between this portrait and Oliver had led Mr. Brownlow to recognise the boy as the child of his dear old friend.,"But before he died he made a will, in which he left all his fortune to be divided between the baby Oliver and his mother."
"rewrite the text in a different style: Then, just when he had determined to adopt Oliver, the boy had disappeared, and all efforts to find him had proved unavailing.","
But Monks did not give up searching for Oliver, and at last, on the very day that Oliver was arrested, he saw him coming from Fagin's house with the Artful Dodger."
"rewrite the text in a different style: Mr. Brownlow knew that, although the mother and father were dead, the elder brother was alive, and at once commenced a search for him.","
From his wonderful resemblance to their dead father, he guessed at once that Oliver was the half-brother whose very name he hated."
"rewrite the text in a different style: Now he had discovered him in the man Monks, the friend of thieves and murderers, and by a chance clue he found also that there had been a will, dividing the property between the two brothers.","Knowing the other now to be in London, Monks was afraid that by some accident he might yet find out what a fortune had been willed him."
"rewrite the text in a different style: That will had been destroyed, together with all proofs of Oliver's parentage, so that Monks might have the entire property.","If he could only make Oliver dishonest, Monks reflected, half their father's fortune would become his own."
"rewrite the text in a different style: Fearing discovery, Monks had bargained with Fagin to keep the child a thief or to kill him outright.",With this thought in mind he had gone to Fagin and had made him his offer of money to make the boy a thief.
"rewrite the text in a different style: 
This revelation of his crime in all its terrible details, told in clear cutting tones by Mr. Brownlow, while his eyes never left the man's face, overwhelmed the coward Monks.","
Fagin, of course, had agreed, and now, to find his victim was out of his power made the Jew grind his teeth with rage."
"rewrite the text in a different style: He stood convicted, and confessed his guilt.","
The old gentleman told Monks he could do one of two things: either he could confess before witnesses the whole infamous plot he had framed against Oliver, and so restore to him his rights and name, or else he could refuse, in which case he would at once be arrested and sent to prison."
"rewrite the text in a different style: 
Then, because the man was son of his old friend, Mr. Brownlow was merciful.","Seeing that Mr. Brownlow knew all about the part he had played, Monks, to save himself, made a full confession--how he had planned to keep his half-brother from his inheritance."
"rewrite the text in a different style: 
""That I promise,"" said Monks.","It was this: A wicked man--so wicked that he was afraid of thunder--who went by the name of Monks, had come to him and told him he would pay a large sum of money if he could succeed in making Oliver a thief and so ruin his reputation and his good name."
"rewrite the text in a different style: 
To this also Monks agreed.","Monks sailed for America, where he was soon detected in crime and died in prison."
"rewrite the text in a different style: 
""You must do more than that,"" said Mr. Brownlow; ""Make restitution to Oliver.","The will declared Oliver should have the money only on condition that he never stain his name with any act of meanness, dishonor, cowardice or wrong."
"rewrite the text in a different style: 
To this also, at length Monks gave fearing assent.","
The older brother, who had taken the name of Monks, hunted and hunted for them, because he hated Oliver on account of their father's will, and wanted to do him all the harm he could."
"rewrite the text in a different style: 
A few days later Oliver found himself in a travelling carriage rolling fast towards his native town, with the Maylies, Mrs. Bedwin, Dr. Losberne, and Mr. Grimwig, while Mr. Brownlow followed in a post-chaise with Monks.","He discovered that they had been taken into the poorhouse, and went there, but this was after Oliver had run away."
"rewrite the text in a different style: 
Oliver was much excited, for he had been told of the disclosures of Monks, which, together with journeying over a road which he had last travelled on foot, a poor houseless, wandering boy, without a friend, or a roof to shelter his head, caused his heart to beat violently and his breath to come in quick gasps.","He found, however, to his satisfaction, that the boy knew nothing about his parentage or his real name, and Monks made up his mind to prevent his ever learning."
"rewrite the text in a different style: he cried, ""that's the stile I came over; there are the hedges I crept behind, for fear anyone should overtake me and force me back!""","So he staggered on till he came to a road where, a little way off, he saw a house."
"rewrite the text in a different style: There was the undertaker's just as it used to be, only less imposing in appearance than he remembered it.","The undertaker had an apprentice, too, who kicked him whenever he came near."
"rewrite the text in a different style: From some details of his confession it was also discovered that Rose Maylie, who was only an adopted niece of Mrs. Maylie, had been the sister of Oliver's mother, and was therefore the boy's aunt, the first blood relation, except Monks, that he had ever possessed.","And he also confessed what no one there had guessed: that Miss Rose, who had been adopted in her infancy, was really the sister of Oliver's dead mother--his aunt, indeed."
"rewrite the text in a different style: 
""Not aunt,"" cried Oliver, throwing his arms about her neck, ""I'll never call her _aunt_.","
Oliver insisted that he didn't know her at all and hadn't any sister, but just then Bill Sikes appeared (as he had planned) and said the young woman was telling the truth and that Oliver was a little rascal and a liar."
"rewrite the text in a different style: 
The only link to his old life which remained was soon broken.","He had not had time to draw the noose down under his arms, so that it slipped up around his neck, and there he hung, dead, with a broken neck."
"rewrite the text in a different style: Fagin had been captured too, sentenced to death, and was in prison awaiting the fulfilment of his doom.","
Monks thus bought his own freedom, and cheap enough he probably thought it, for before he had finished his story, word came that Fagin the Jew had been captured by the police and was to be tried without delay for his life."
"rewrite the text in a different style: In his possession he had papers relating to Oliver's parentage, and the boy went with Mr. Brownlow to the prison to try to recover them.","
Oliver no longer had anything to fear, and came into possession of his true name and his fortune."
"rewrite the text in a different style: With Mr. Brownlow, Fagin was obstinately silent, but to Oliver he whispered where they could be found, and then begged and prayed the boy to help him escape justice, and sent up cry after cry that rang in Oliver's ears for months afterwards.","Mr. Brownlow adopted him as his own son, and moved to the village where Oliver had been cared for in the family of Miss Rose, and where they all lived happily ever afterward."
"rewrite the text in a different style: 
Several times a year Mr. Grimwig visits in the neighbourhood, and it is a favourite joke for Mr. Brownlow to rally him on his old prophecy concerning Oliver, and to remind him of the night on which they sat with the watch between them awaiting his return.","
Mr. Bumble finally gave him to the village undertaker, and there he had to mind the shop and do all the chores."
"rewrite the text in a different style: But Mr. Grimwig contends that he was right in the main, and in proof thereof remarks that Oliver _did not come back after all_,--which always calls forth a laugh on his side, and increases his good humour.","They were both sorry the policemen had been sent for, because the doctor was sure they would not believe Oliver's story, especially as he had been arrested once before."
